"DR_NO","Date.Rptd","DATE.OCC","TIME.OCC","AREA","AREA.NAME","Rpt.Dist.No","Part.1.2","Crm.Cd","Crm.Cd.Desc","Mocodes","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Weapon.Used.Cd","Weapon.Desc","Status","Status.Desc","Crm.Cd.1","Crm.Cd.2","Crm.Cd.3","Crm.Cd.4","LOCATION","Cross.Street","LAT","LON"
221010077,"06/06/2022 12:00:00 AM","10/28/2021 12:00:00 AM",1205,10,"West Valley",1099,2,354,"THEFT OF IDENTITY","1822 0928",22,"M","W",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",354,NA,NA,NA,"16000    ROYAL OAK                    RD","",34.1436,-118.4815
211220011,"09/20/2021 12:00:00 AM","09/20/2021 12:00:00 AM",1200,12,"77th Street",1213,2,624,"BATTERY - SIMPLE ASSAULT","0444",38,"F","O",151,"TOW YARD*",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"1800 W  SLAUSON                      AV","",33.9921,-118.3108
201708813,"05/05/2020 12:00:00 AM","05/05/2020 12:00:00 AM",800,17,"Devonshire",1761,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344 1202",82,"F","W",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",440,NA,NA,NA,"22200    LASSEN                       ST","",34.25,-118.6104
210808632,"04/25/2021 12:00:00 AM","04/24/2021 12:00:00 AM",1400,8,"West LA",842,1,480,"BIKE - STOLEN","0344",26,"F","W",504,"OTHER RESIDENCE",NA,"","IC","Invest Cont",480,NA,NA,NA,"1200 S  WESTGATE                     AV","",34.047,-118.4632
201413066,"06/30/2020 12:00:00 AM","06/29/2020 12:00:00 AM",2200,14,"Pacific",1463,1,330,"BURGLARY FROM VEHICLE","1300 0344",45,"M","W",707,"GARAGE/CARPORT",NA,"","IC","Invest Cont",330,NA,NA,NA,"12400 W  JEFFERSON                    BL","",33.9782,-118.422
211221587,"10/14/2021 12:00:00 AM","10/13/2021 12:00:00 AM",1700,12,"77th Street",1211,2,900,"VIOLATION OF COURT ORDER","1822",75,"M","B",501,"SINGLE FAMILY DWELLING",NA,"","AO","Adult Other",900,NA,NA,NA,"5400    CHESLEY                      AV","",33.9908,-118.3344
202012306,"07/19/2020 12:00:00 AM","07/19/2020 12:00:00 AM",1515,20,"Olympic",2071,2,624,"BATTERY - SIMPLE ASSAULT","1822 1202 0416 0319 0429 0381",61,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"VENICE                       BL","E  WESTERN                      AV",34.0436,-118.309
212001009,"09/19/2021 12:00:00 AM","09/19/2021 12:00:00 AM",2355,20,"Olympic",2099,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0450 1822 1309 1407 0309 1100",0,"X","X",102,"SIDEWALK",102,"HAND GUN","IC","Invest Cont",230,998,NA,NA,"ORCHARD                      AV","20TH                         ST",34.0382,-118.2882
220804046,"12/11/2021 12:00:00 AM","12/11/2021 12:00:00 AM",330,8,"West LA",816,1,330,"BURGLARY FROM VEHICLE","0358 1302 1307 0344 0377 1822",47,"M","O",103,"ALLEY",NA,"","IC","Invest Cont",330,NA,NA,NA,"600    MIDVALE                      AV","",34.0673,-118.4534
201610849,"07/06/2020 12:00:00 AM","07/06/2020 12:00:00 AM",1027,16,"Foothill",1675,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329",39,"M","O",203,"OTHER BUSINESS",NA,"","IC","Invest Cont",740,NA,NA,NA,"9100    DE GARMO                     AV","",34.2344,-118.3741
210705584,"02/10/2021 12:00:00 AM","02/10/2021 12:00:00 AM",1115,7,"Wilshire",765,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 0416",22,"F","B",503,"HOTEL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"1200 S  LA BREA                      AV","",34.0531,-118.3437
201011225,"07/21/2020 12:00:00 AM","05/30/2020 12:00:00 AM",1330,10,"West Valley",1034,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0421 1804 1906 0913",39,"M","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,"VERBAL THREAT","AO","Adult Other",930,NA,NA,NA,"6100    RESEDA                       BL","",34.1807,-118.536
210304884,"01/21/2021 12:00:00 AM","01/21/2021 12:00:00 AM",1130,3,"Southwest",398,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 0561",59,"F","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",745,NA,NA,NA,"600 W  42ND                         ST","",34.007,-118.2857
211706309,"03/05/2021 12:00:00 AM","02/28/2021 12:00:00 AM",1200,17,"Devonshire",1791,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","1906 0913 1814 2000 0443",35,"F","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","AO","Adult Other",956,NA,NA,NA,"8600    DE SOTO                      AV","",34.227,-118.5885
221608912,"05/03/2022 12:00:00 AM","05/01/2022 12:00:00 AM",1230,16,"Foothill",1611,2,354,"THEFT OF IDENTITY","1822 0377",38,"F","H",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",354,NA,NA,NA,"13500    CORCORAN                     ST","",34.2801,-118.4278
202116751,"12/03/2020 12:00:00 AM","11/28/2020 12:00:00 AM",1745,21,"Topanga",2157,1,310,"BURGLARY","0344 1606",49,"M","H",707,"GARAGE/CARPORT",NA,"","IC","Invest Cont",310,NA,NA,NA,"20200    HAMLIN                       ST","",34.1907,-118.5753
220912027,"07/31/2022 12:00:00 AM","07/30/2022 12:00:00 AM",1600,9,"Van Nuys",916,1,510,"VEHICLE - STOLEN","",0,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"13900    SHERMAN                      WY","",34.2012,-118.4356
200405465,"02/07/2020 12:00:00 AM","02/06/2020 12:00:00 AM",2000,4,"Hollenbeck",479,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1514 2055 0329 0903 1402",23,"F","B",707,"GARAGE/CARPORT",NA,"","IC","Invest Cont",740,946,998,NA,"3500    SISKIYOU                     ST","",34.0256,-118.1992
201610682,"07/02/2020 12:00:00 AM","07/02/2020 12:00:00 AM",1630,16,"Foothill",1621,2,624,"BATTERY - SIMPLE ASSAULT","0416 1822",57,"M","H",402,"MARKET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"10400    LAUREL CANYON                BL","",34.2588,-118.4321
211518762,"12/16/2021 12:00:00 AM","12/15/2021 12:00:00 AM",800,15,"N Hollywood",1533,1,510,"VEHICLE - STOLEN","",0,"","",108,"PARKING LOT",NA,"","IC","Invest Cont",510,NA,NA,NA,"12000    BURBANK                      BL","",34.1751,-118.3943
211204635,"01/09/2021 12:00:00 AM","01/09/2021 12:00:00 AM",2045,12,"77th Street",1266,2,624,"BATTERY - SIMPLE ASSAULT","1202 0913 0554 2003 0400 0416",61,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"900 W  80TH                         ST","",33.9667,-118.2889
221807816,"03/20/2022 12:00:00 AM","03/20/2022 12:00:00 AM",15,18,"Southeast",1849,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0913 0602 0561 1300 0329 2004",58,"F","B",122,"VEHICLE, PASSENGER/TRUCK",NA,"","AO","Adult Other",745,NA,NA,NA,"2200 E  111TH                        ST","",33.9345,-118.2329
201106838,"03/03/2020 12:00:00 AM","03/02/2020 12:00:00 AM",1900,11,"Northeast",1183,1,310,"BURGLARY","1606 0344",0,"X","X",203,"OTHER BUSINESS",NA,"","IC","Invest Cont",310,NA,NA,NA,"1500    ECHO PARK                    AV","",34.0832,-118.2572
211422147,"11/24/2021 12:00:00 AM","11/18/2021 12:00:00 AM",2315,14,"Pacific",1496,1,330,"BURGLARY FROM VEHICLE","0344 1822 0358",38,"F","W",102,"SIDEWALK",NA,"","IC","Invest Cont",330,NA,NA,NA,"9800    VICKSBURY","",33.9472,-118.3909
200320462,"11/16/2020 12:00:00 AM","11/16/2020 12:00:00 AM",1630,3,"Southwest",376,2,624,"BATTERY - SIMPLE ASSAULT","0913 0416 0446 2021 1202 1309",68,"F","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"LEIGHTON                     AV","HOBART                       BL",34.0128,-118.3077
211116432,"12/14/2021 12:00:00 AM","12/10/2021 12:00:00 AM",100,11,"Northeast",1147,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","",0,"","",101,"STREET",NA,"","IC","Invest Cont",420,NA,NA,NA,"1500    SAN FERNANDO                 RD","",34.0962,-118.2321
220108445,"03/17/2022 12:00:00 AM","03/14/2022 12:00:00 AM",1700,1,"Central",111,1,330,"BURGLARY FROM VEHICLE","0344 1822 1307 1609",41,"F","W",108,"PARKING LOT",NA,"","IC","Invest Cont",330,NA,NA,NA,"600 N  FIGUEROA                     ST","",34.0627,-118.2463
210620939,"12/30/2021 12:00:00 AM","12/29/2021 12:00:00 AM",410,6,"Hollywood",678,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","1300 1822 0344 1606",53,"F","O",104,"DRIVEWAY",NA,"","IC","Invest Cont",420,NA,NA,NA,"MELROSE HILL","MARATHON",34.0846,-118.306
210319700,"12/01/2021 12:00:00 AM","11/17/2021 12:00:00 AM",2000,3,"Southwest",356,1,330,"BURGLARY FROM VEHICLE","1822 0344 1609 1307 1302",29,"F","H",101,"STREET",NA,"","IC","Invest Cont",330,NA,NA,NA,"S  WESTERN                      AV","W  36TH                         PL",34.0219,-118.3089
211812960,"07/02/2021 12:00:00 AM","07/02/2021 12:00:00 AM",1000,18,"Southeast",1827,1,761,"BRANDISH WEAPON","0334 0432 0443 0448 1814 0305 0913 2000 0416",39,"F","H",501,"SINGLE FAMILY DWELLING",207,"OTHER KNIFE","IC","Invest Cont",761,NA,NA,NA,"9300    ANZAC                        AV","",33.9513,-118.2375
221507424,"03/23/2022 12:00:00 AM","03/23/2022 12:00:00 AM",1250,15,"N Hollywood",1555,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 0444",0,"M","O",203,"OTHER BUSINESS",NA,"","IC","Invest Cont",740,NA,NA,NA,"11300    RIVERSIDE                    DR","",34.1556,-118.3773
200107989,"02/27/2020 12:00:00 AM","02/27/2020 12:00:00 AM",755,1,"Central",162,1,442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0344 2004",33,"M","W",252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",NA,"","IC","Invest Cont",442,NA,NA,NA,"7TH                          ST","FLOWER",34.0487,-118.2588
211111175,"07/26/2021 12:00:00 AM","07/25/2021 12:00:00 AM",2030,11,"Northeast",1136,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","1814 0913 0444 2000",37,"F","H",104,"DRIVEWAY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"4700    TOLAND                       WY","",34.1202,-118.2141
211904509,"01/15/2021 12:00:00 AM","01/14/2021 12:00:00 AM",2100,19,"Mission",1917,1,510,"VEHICLE - STOLEN","",0,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"13900    ASTORIA                      ST","",34.3122,-118.4381
201009782,"06/08/2020 12:00:00 AM","06/08/2020 12:00:00 AM",1,10,"West Valley",1045,1,510,"VEHICLE - STOLEN","",0,"","",707,"GARAGE/CARPORT",NA,"","IC","Invest Cont",510,NA,NA,NA,"5700    ETIWANDA                     AV","",34.1749,-118.5308
200108016,"02/27/2020 12:00:00 AM","02/27/2020 12:00:00 AM",1700,1,"Central",127,2,624,"BATTERY - SIMPLE ASSAULT","1266 0416 1822",38,"M","B",406,"OTHER STORE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"200 N  LOS ANGELES                  ST","",34.0525,-118.2416
200809567,"05/17/2020 12:00:00 AM","05/17/2020 12:00:00 AM",1955,8,"West LA",819,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1822 0919 1251 1300 1312",23,"M","W",101,"STREET",307,"VEHICLE","IC","Invest Cont",230,NA,NA,NA,"DEVON                        AV","LINDBROOK                    DR",34.0694,-118.4288
221511386,"06/20/2022 12:00:00 AM","06/17/2022 12:00:00 AM",1930,15,"N Hollywood",1512,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","1300 0344 1822",34,"F","H",101,"STREET",NA,"","IC","Invest Cont",331,NA,NA,NA,"7100    COLDWATER CANYON             AV","",34.1995,-118.4138
200412176,"08/26/2020 12:00:00 AM","08/25/2020 12:00:00 AM",1930,4,"Hollenbeck",491,1,320,"BURGLARY, ATTEMPTED","0400",0,"M","X",404,"DEPARTMENT STORE",NA,"","IC","Invest Cont",320,NA,NA,NA,"2600 E  OLYMPIC                      BL","",34.0253,-118.2224
220713424,"08/28/2022 12:00:00 AM","08/28/2022 12:00:00 AM",100,7,"Wilshire",753,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1822 1300 1309 1310 1312",24,"M","W",101,"STREET",307,"VEHICLE","IC","Invest Cont",230,NA,NA,NA,"OLYMPIC","ORANGE GROVE",34.058,-118.3629
211008733,"06/01/2021 12:00:00 AM","05/28/2021 12:00:00 AM",1400,10,"West Valley",1063,1,310,"BURGLARY","0344 1822 1606",0,"M","W",406,"OTHER STORE",NA,"","IC","Invest Cont",310,NA,NA,NA,"18900    VENTURA                      BL","",34.1722,-118.5447
201513926,"08/13/2020 12:00:00 AM","08/11/2020 12:00:00 AM",128,15,"N Hollywood",1538,1,648,"ARSON","",69,"M","O",203,"OTHER BUSINESS",NA,"","IC","Invest Cont",648,NA,NA,NA,"11000    BURBANK                      BL","",0,0
201211731,"04/28/2020 12:00:00 AM","04/27/2020 12:00:00 AM",1700,12,"77th Street",1205,1,510,"VEHICLE - STOLEN","",0,"","",101,"STREET",NA,"","IC","Invest Cont",510,NA,NA,NA,"1200 W  49TH                         ST","",33.9987,-118.2959
210111435,"06/06/2021 12:00:00 AM","06/05/2021 12:00:00 AM",1625,1,"Central",121,2,624,"BATTERY - SIMPLE ASSAULT","1822 0416",24,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"900 W  TEMPLE                       ST","",34.0607,-118.2494
210119685,"11/01/2021 12:00:00 AM","11/01/2021 12:00:00 AM",1040,1,"Central",157,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329",0,"X","X",122,"VEHICLE, PASSENGER/TRUCK",NA,"","IC","Invest Cont",740,NA,NA,NA,"500 S  SAN PEDRO                    ST","",34.0438,-118.2441
211807324,"03/08/2021 12:00:00 AM","03/08/2021 12:00:00 AM",300,18,"Southeast",1863,1,350,"THEFT, PERSON","2034 1822 1300 1309 0344",23,"M","B",101,"STREET",NA,"","IC","Invest Cont",350,NA,NA,NA,"120TH","STANFORD",33.9237,-118.2622
200311292,"05/13/2020 12:00:00 AM","05/13/2020 12:00:00 AM",2215,3,"Southwest",318,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0411 1822",32,"M","H",101,"STREET",223,"UNKNOWN TYPE CUTTING INSTRUMENT","IC","Invest Cont",230,NA,NA,NA,"25TH                         ST","VERMONT",34.0336,-118.2915
201317544,"09/25/2020 12:00:00 AM","09/25/2020 12:00:00 AM",1900,13,"Newton",1383,1,210,"ROBBERY","1822 0334 0344 0432 0302",55,"M","H",101,"STREET",109,"SEMI-AUTOMATIC PISTOL","IC","Invest Cont",210,NA,NA,NA,"WALL                         ST","59TH",33.9861,-118.2718
210314897,"08/26/2021 12:00:00 AM","08/26/2021 12:00:00 AM",1715,3,"Southwest",379,1,510,"VEHICLE - STOLEN","",0,"","",101,"STREET",NA,"","AA","Adult Arrest",510,NA,NA,NA,"3900    WALTON                       AV","",34.0142,-118.2948
211416487,"08/12/2021 12:00:00 AM","08/12/2021 12:00:00 AM",1422,14,"Pacific",1449,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","0329 1300",47,"M","W",102,"SIDEWALK",NA,"","IC","Invest Cont",740,NA,NA,NA,"3900    MINERVA                      AV","",34.0079,-118.4207
221506427,"02/13/2022 12:00:00 AM","02/12/2022 12:00:00 AM",2130,15,"N Hollywood",1546,1,330,"BURGLARY FROM VEHICLE","",25,"F","W",707,"GARAGE/CARPORT",NA,"","IC","Invest Cont",330,NA,NA,NA,"11400    RIVERSIDE                    DR","",34.1629,-118.3848
201312956,"06/27/2020 12:00:00 AM","06/25/2020 12:00:00 AM",2200,13,"Newton",1342,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","",0,"","",101,"STREET",NA,"","IC","Invest Cont",420,NA,NA,NA,"3800    WALL                         ST","",34.0112,-118.2722
220704371,"01/11/2022 12:00:00 AM","01/01/2022 12:00:00 AM",1410,7,"Wilshire",734,2,354,"THEFT OF IDENTITY","0930",23,"F","K",101,"STREET",NA,"","IC","Invest Cont",354,NA,NA,NA,"400    HAUSER                       BL","",34.0674,-118.3499
210607788,"04/01/2021 12:00:00 AM","03/31/2021 12:00:00 AM",2030,6,"Hollywood",645,1,310,"BURGLARY","0329 1607 1501 1822 0314",33,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",310,NA,NA,NA,"7000    LANEWOOD                     AV","",34.0992,-118.3417
201915561,"10/11/2020 12:00:00 AM","07/31/2020 12:00:00 AM",1308,19,"Mission",1961,2,354,"THEFT OF IDENTITY","0930",41,"M","A",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",354,NA,NA,NA,"15400    PLUMMER                      ST","",34.2428,-118.4685
200804070,"01/03/2020 12:00:00 AM","01/03/2020 12:00:00 AM",519,8,"West LA",892,1,310,"BURGLARY","0344 1402 1403 1822",24,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",310,998,NA,NA,"2400    SAWTELLE                     BL","",34.0346,-118.4381
211000539,"01/20/2021 12:00:00 AM","01/20/2021 12:00:00 AM",5,10,"West Valley",1001,2,753,"DISCHARGE FIREARMS/SHOTS FIRED","1100 1402 1407 1822 1300",0,"M","W",101,"STREET",102,"HAND GUN","IC","Invest Cont",753,998,NA,NA,"SHIRLEY                      AV","INGOMAR                      ST",34.212,-118.5579
210319534,"11/29/2021 12:00:00 AM","11/28/2021 12:00:00 AM",530,3,"Southwest",392,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","1822 1606 0344 0397 1300",20,"X","X",101,"STREET",NA,"","IC","Invest Cont",331,NA,NA,NA,"4600    4TH                          AV","",34.0021,-118.3214
202014666,"09/15/2020 12:00:00 AM","09/15/2020 12:00:00 AM",300,20,"Olympic",2019,1,236,"INTIMATE PARTNER - AGGRAVATED ASSAULT","0340 0416 0421 0432 0446 0913 1241 1821 2000 2038",41,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,"HAND GUN","AO","Adult Other",236,NA,NA,NA,"100 S  VIRGIL                       AV","",34.0732,-118.2868
220306542,"02/24/2022 12:00:00 AM","02/24/2022 12:00:00 AM",1530,3,"Southwest",359,2,624,"BATTERY - SIMPLE ASSAULT","0429 1822 0444",20,"F","H",722,"COLLEGE/JUNIOR COLLEGE/UNIVERSITY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"3500 S  FIGUEROA                     ST","",34.0201,-118.2812
220115049,"06/27/2022 12:00:00 AM","06/27/2022 12:00:00 AM",900,1,"Central",157,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0421 0603 0361",40,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,"VERBAL THREAT","IC","Invest Cont",930,NA,NA,NA,"700 E  6TH                          ST","",34.0412,-118.2436
201614556,"11/08/2020 12:00:00 AM","11/07/2020 12:00:00 AM",300,16,"Foothill",1615,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0913 0416",32,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"11800    GLAMIS                       ST","",34.2759,-118.3908
210118098,"10/05/2021 12:00:00 AM","10/05/2021 12:00:00 AM",430,1,"Central",111,1,761,"BRANDISH WEAPON","0416 1218 0334 0913 2004",59,"M","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",761,NA,NA,NA,"SPRING","ARCADIA",34.0565,-118.2411
201711064,"07/14/2020 12:00:00 AM","07/07/2020 12:00:00 AM",1430,17,"Devonshire",1709,1,310,"BURGLARY","1606 0321 0344 1402",0,"X","X",725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",NA,"","IC","Invest Cont",310,998,NA,NA,"15700    RINALDI                      ST","",34.2818,-118.4728
211709565,"06/02/2021 12:00:00 AM","06/02/2021 12:00:00 AM",450,17,"Devonshire",1735,1,330,"BURGLARY FROM VEHICLE","1609 1300 0344",34,"M","H",101,"STREET",NA,"","IC","Invest Cont",330,NA,NA,NA,"17900    LUDLOW                       ST","",34.2705,-118.5241
211116395,"12/14/2021 12:00:00 AM","12/13/2021 12:00:00 AM",330,11,"Northeast",1162,1,121,"RAPE, FORCIBLE","0537 0913 1810 0527 0510 1402 1415 0400 1409",23,"F","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",121,998,NA,NA,"1300    VIRGIL                       PL","",34.0959,-118.2868
220807108,"03/17/2022 12:00:00 AM","09/08/2021 12:00:00 AM",911,8,"West LA",809,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","0344 0394 1822",41,"F","L",501,"SINGLE FAMILY DWELLING",NA,"","IC","Invest Cont",440,NA,NA,NA,"2600    EDEN                         PL","",34.1194,-118.4011
221111220,"07/05/2022 12:00:00 AM","07/05/2022 12:00:00 AM",2355,11,"Northeast",1178,2,624,"BATTERY - SIMPLE ASSAULT","0913 1202 0561 0602 0400 0444 0448",73,"M","H",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"3300    SEYMOUR                      ST","",34.0903,-118.2223
211700921,"11/14/2021 12:00:00 AM","11/14/2021 12:00:00 AM",1120,17,"Devonshire",1701,2,624,"BATTERY - SIMPLE ASSAULT","1202 0444 0913 2024 0602 0360",70,"F","O",501,"SINGLE FAMILY DWELLING",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"11800    PORTER RANCH                 DR","",34.2855,-118.5707
220804550,"01/14/2022 12:00:00 AM","01/14/2022 12:00:00 AM",900,8,"West LA",881,2,624,"BATTERY - SIMPLE ASSAULT","1300 1309 0416",61,"M","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"1800 S  BUNDY                        DR","",34.0364,-118.4584
211212526,"05/20/2021 12:00:00 AM","05/20/2021 12:00:00 AM",1315,12,"77th Street",1266,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 1822",29,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NA,"","IC","Invest Cont",745,NA,NA,NA,"900 W  81ST                         ST","",33.9655,-118.2889
201209294,"03/16/2020 12:00:00 AM","03/16/2020 12:00:00 AM",2000,12,"77th Street",1232,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","0913 0400 0416 1814 2000 2033",41,"F","B",505,"MOTEL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"2800 W  SLAUSON                      AV","",33.9891,-118.3236
211716273,"12/18/2021 12:00:00 AM","12/17/2021 12:00:00 AM",1900,17,"Devonshire",1747,1,330,"BURGLARY FROM VEHICLE","0329 0344 1501",29,"F","H",101,"STREET",NA,"","IC","Invest Cont",330,NA,NA,NA,"10500    BALBOA                       BL","",34.2612,-118.5023
201818428,"08/04/2020 12:00:00 AM","08/04/2020 12:00:00 AM",1730,18,"Southeast",1827,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","1822 0329 1300",43,"F","H",101,"STREET",NA,"","IC","Invest Cont",745,NA,NA,NA,"9600    GRAHAM                       AV","",33.9494,-118.243
210408916,"05/22/2021 12:00:00 AM","05/22/2021 12:00:00 AM",2100,4,"Hollenbeck",456,2,624,"BATTERY - SIMPLE ASSAULT","0446 0913",38,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"2400    HOUSTON                      ST","",34.051,-118.2044
201812174,"06/03/2020 12:00:00 AM","06/01/2020 12:00:00 AM",300,18,"Southeast",1822,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0329 1822",32,"M","H",248,"CELL PHONE STORE",NA,"","IC","Invest Cont",745,NA,NA,NA,"CENTURY                      BL","MAIN                         ST",33.9456,-118.2739
220806535,"03/03/2022 12:00:00 AM","03/02/2022 12:00:00 AM",1200,8,"West LA",884,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","2032 1202 0344 0352 1822",87,"F","W",203,"OTHER BUSINESS",NA,"","IC","Invest Cont",341,NA,NA,NA,"11000 W  PICO                         BL","",34.0383,-118.4323
221404187,"01/04/2022 12:00:00 AM","01/03/2022 12:00:00 AM",1300,14,"Pacific",1495,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)","2032 0344",57,"F","W",111,"BUS-CHARTER/PRIVATE",NA,"","IC","Invest Cont",440,NA,NA,NA,"6100    WESTCHESTER PKWY","",33.9526,-118.3893
221807926,"03/22/2022 12:00:00 AM","03/17/2022 12:00:00 AM",1500,18,"Southeast",1826,2,624,"BATTERY - SIMPLE ASSAULT","1202 1822 0444 0356 0416",66,"F","B",738,"LIBRARY",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"10200    COMPTON                      AV","",33.9438,-118.2462
202005587,"01/20/2020 12:00:00 AM","01/20/2020 12:00:00 AM",645,20,"Olympic",2015,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","1822 0344 0385",43,"F","H",101,"STREET",NA,"","IC","Invest Cont",420,NA,NA,NA,"200 N  VERMONT                      AV","",34.0745,-118.296
